l1;l2;l3;l4;l5;l6;l7;l8;l9;l10;IS
1;0;0;1;1;1;1;1;0;0;2
1;0;0;1;1;1;1;1;2;0;0
1;0;0;1;1;1;1;1;1;0;2
0;0;1;1;1;1;0;1;1;0;2
1;1;1;1;1;1;0;0;0;0;2
1;0;1;1;1;1;0;0;0;1;2
1;0;1;1;1;1;0;0;0;0;1
2;1;2;1;1;1;1;1;1;0;2
2;1;1;1;1;1;1;1;0;0;2
2;1;1;1;0;1;1;1;1;0;2
2;1;1;1;1;1;1;1;1;0;2
1;1;2;1;1;1;0;1;2;1;2
1;1;2;1;1;1;0;1;2;0;0
0;0;1;0;0;1;0;0;1;0;1
0;0;1;1;1;1;0;1;2;0;2
0;0;1;1;1;0;0;1;2;1;1
0;0;1;1;1;0;0;1;1;1;2
1;0;1;1;1;1;1;1;0;0;2
1;0;1;1;1;1;1;1;1;0;2
1;0;2;0;1;1;0;0;0;0;2
1;0;2;0;1;1;1;0;1;0;1
0;0;1;1;1;1;0;1;0;0;2
0;1;1;1;1;0;0;1;0;1;2
0;0;0;1;1;1;0;1;0;0;2
0;1;2;1;1;1;0;1;1;0;0
0;0;1;1;1;1;1;1;2;0;0
1;1;1;1;1;1;1;1;0;0;2
1;1;1;1;1;1;1;1;1;0;2
2;1;1;1;1;1;1;1;2;0;0
0;1;1;1;1;1;1;1;1;1;2
0;1;1;1;1;1;1;1;1;0;1
2;1;1;1;1;1;1;1;0;0;1
1;0;1;1;1;1;0;1;1;0;1
1;1;0;1;1;1;0;1;0;0;2
1;1;1;1;1;1;0;1;0;0;2
2;1;1;1;1;0;1;1;0;0;2
2;1;1;1;1;0;1;1;1;0;1
2;1;1;1;1;0;1;1;2;0;1
0;1;1;1;1;1;0;1;1;0;1
0;1;1;1;1;0;0;1;1;0;0
0;1;1;1;1;0;0;1;0;0;1
0;0;1;1;1;0;0;1;1;0;1
0;1;1;1;1;1;1;1;0;0;2
1;0;1;1;0;1;1;1;1;0;2
1;0;1;1;0;1;1;1;0;0;2
0;0;1;1;1;0;0;1;2;0;0
0;0;1;1;1;1;0;1;1;0;0
0;0;1;0;0;1;0;0;0;1;0
1;1;2;1;1;1;1;1;0;0;2
1;0;1;1;1;1;1;0;0;0;1
0;1;1;0;0;1;0;0;1;0;0
1;0;1;1;1;1;1;1;2;1;2
1;0;1;1;1;1;1;1;2;0;1
0;1;1;1;1;1;0;1;1;1;2
0;0;0;0;0;0;0;0;0;0;0
1;0;3;1;1;1;0;1;2;0;0
1;1;3;1;1;1;0;1;1;0;2
